locale,key,first_seen_in_file
de,pos.park_restore_requires_empty_cart,resources/js/components/admin/pos/ParkedOrdersComponent.vue
de,pos.park_restore_success,resources/js/components/admin/pos/ParkedOrdersComponent.vue
de,pos.park_save_error,resources/js/components/admin/pos/PosComponent.vue
de,pos.park_success,resources/js/components/admin/pos/PosComponent.vue
de,pos.parked_order_fallback_label,resources/js/components/admin/pos/ParkedOrdersComponent.vue
de,pos.parked_orders,resources/js/components/admin/pos/ParkedOrdersComponent.vue
de,pos.receipt_print_conflict,resources/js/components/admin/pos/ReceiptComponent.vue
de,pos.receipt_print_forbidden,resources/js/components/admin/pos/ReceiptComponent.vue
de,pos.receipt_print_not_found,resources/js/components/admin/pos/ReceiptComponent.vue
de,pos.receipt_print_server_error,resources/js/components/admin/pos/ReceiptComponent.vue
de,pos.restore,resources/js/components/admin/pos/ParkedOrdersComponent.vue
de,ws_session_invalid_action,resources/js/components/common/ConnectionStatusBanner.vue
de,ws_session_invalid_text,resources/js/components/common/ConnectionStatusBanner.vue
bn,a11y.add_item,resources/js/components/admin/pos/ItemComponent.vue
bn,a11y.cart_region,resources/js/components/admin/pos/PosComponent.vue
bn,a11y.decrease_qty,resources/js/components/admin/pos/PosComponent.vue
bn,a11y.increase_qty,resources/js/components/admin/pos/PosComponent.vue
bn,a11y.receipt_preview,resources/js/components/admin/pos/ReceiptComponent.vue
bn,a11y.remove_item,resources/js/components/admin/pos/PosComponent.vue
bn,a11y.skip_to_cart,resources/js/components/admin/pos/PosComponent.vue
bn,button.kds_allergens_modal_close,resources/js/components/admin/kitchenDisplaySystem/KitchenDisplaySystemComponent.vue
bn,button.kds_bump,resources/js/components/admin/kitchenDisplaySystem/KitchenDisplaySystemComponent.vue
bn,button.kds_recall,resources/js/components/admin/kitchenDisplaySystem/KitchenDisplaySystemComponent.vue
bn,button.release_table,resources/js/components/admin/pos/FloorplanComponent.vue
bn,button.transfer_table,resources/js/components/admin/pos/FloorplanComponent.vue
bn,kiosk.consent.privacy_body,resources/js/components/frontend/kiosk/ds/KsConsentModal.vue
bn,kiosk.filters.,resources/js/components/frontend/kiosk/KioskCategoriesComponent.vue
bn,kiosk.loyalty_screen.request_timeout,resources/js/components/frontend/kiosk/KioskLoyaltyComponent.vue
bn,kiosk.max_quantity_reached,resources/js/components/frontend/kiosk/KioskCartComponent.vue
bn,kiosk.pay_screen.tpe_stuck_help,resources/js/components/frontend/kiosk/KioskPaymentComponent.vue
bn,kiosk.promo.applied,resources/js/components/frontend/kiosk/KioskCartComponent.vue
bn,kiosk.promo.apply,resources/js/components/frontend/kiosk/KioskCartComponent.vue
bn,kiosk.promo.label,resources/js/components/frontend/kiosk/KioskCartComponent.vue
bn,kiosk.promo.loading,resources/js/components/frontend/kiosk/KioskCartComponent.vue
bn,kiosk.promo.placeholder,resources/js/components/frontend/kiosk/KioskCartComponent.vue
bn,kiosk.promo.remove,resources/js/components/frontend/kiosk/KioskCartComponent.vue
bn,kiosk.wizard.step.viande.instruction_complete,resources/js/components/frontend/kiosk/steps/KioskStepViandeComponent.vue
bn,kiosk.wizard.step.viande.instruction_many,resources/js/components/frontend/kiosk/steps/KioskStepViandeComponent.vue
bn,kiosk.wizard.step.viande.instruction_one,resources/js/components/frontend/kiosk/steps/KioskStepViandeComponent.vue
bn,kiosk.wizard.step.viande.instruction_remaining_many,resources/js/components/frontend/kiosk/steps/KioskStepViandeComponent.vue
bn,kiosk.wizard.step.viande.instruction_remaining_one,resources/js/components/frontend/kiosk/steps/KioskStepViandeComponent.vue
bn,kiosk.wizard.step.viande.meta_included,resources/js/components/frontend/kiosk/steps/KioskStepViandeComponent.vue
bn,kiosk.wizard.step.viande.meta_paid,resources/js/components/frontend/kiosk/steps/KioskStepViandeComponent.vue
bn,kiosk.wizard.step.viande.tap_to_choose,resources/js/components/frontend/kiosk/steps/KioskStepViandeComponent.vue
bn,kiosk.wizard.supplement_decrease,resources/js/components/frontend/kiosk/steps/KioskStepSupplementsComponent.vue
bn,kiosk.wizard.supplement_increase,resources/js/components/frontend/kiosk/steps/KioskStepSupplementsComponent.vue
bn,kiosk.wizard.supplement_qty_label,resources/js/components/frontend/kiosk/steps/KioskStepSupplementsComponent.vue
bn,kiosk.wizard.tap_to_choose,resources/js/components/frontend/kiosk/steps/KioskStepSupplementsComponent.vue
bn,label.,resources/js/components/admin/pos/ReceiptComponent.vue
bn,label.availability,resources/js/components/admin/items/ItemListComponent.vue
